,Action,Open_time,Open_price,Close_time,Close_price,return
1,Buy,2022-03-18 11:11:00,-78.38774019392547,2022-03-18 11:41:00,-78.42571760772903,0.9985155184508495
2,Sell,2022-03-20 09:01:00,-85.06471251472351,2022-03-20 09:31:00,-83.95123260924541,0.9859102019796355
3,Buy,2022-03-20 09:31:00,-83.95123260924541,2022-03-20 10:01:00,-83.98921002304898,0.998547625298364
4,Buy,2022-03-20 12:11:00,-82.96062985035282,2022-03-20 12:41:00,-83.49394364360266,0.9925714833142919
5,Sell,2022-03-20 17:11:00,-83.61607359846366,2022-03-20 17:41:00,-82.46557347090652,0.9852406822271755
6,Buy,2022-03-20 17:41:00,-82.46557347090652,2022-03-20 18:11:00,-82.69423795372789,0.9962271522139836
7,Buy,2022-03-20 17:51:00,-82.38936864329939,2022-03-20 18:21:00,-82.73235536753144,0.9948370026390542
8,Sell,2022-03-21 02:01:00,-84.03640506185464,2022-03-21 02:31:00,-83.19039433317418,0.9889328067632385
9,Buy,2022-03-21 02:21:00,-83.53324105740624,2022-03-21 02:51:00,-82.1991415742816,1.0149708813669498
10,Buy,2022-03-21 02:31:00,-83.19039433317418,2022-03-21 03:01:00,-82.31351381569227,1.009540646243003
11,Sell,2022-03-21 15:51:00,-83.69209437089837,2022-03-21 16:21:00,-87.42123726536948,1.043557887127841
12,Sell,2022-03-21 16:01:00,-84.03542408185464,2022-03-21 16:31:00,-87.19278278254811,1.036571758995564
13,Sell,2022-03-21 16:11:00,-85.14229484715824,2022-03-21 16:41:00,-87.42152726536948,1.0257696850584397
14,Sell,2022-03-21 17:01:00,-88.11987773211268,2022-03-21 17:31:00,-90.58606261106506,1.026986703368446
15,Sell,2022-03-21 17:11:00,-88.34864074941687,2022-03-21 17:41:00,-90.31923071444015,1.0213047004267157
16,Sell,2022-03-21 17:21:00,-88.95943955889472,2022-03-21 17:51:00,-90.7385522662793,1.018999144736144
17,Sell,2022-03-21 17:41:00,-90.4095499451546,2022-03-21 18:11:00,-91.61532278376121,1.012336786206082
18,Sell,2022-03-21 17:51:00,-90.82929081854557,2022-03-21 18:21:00,-91.72967502517191,1.0089129278508304
19,Buy,2022-03-21 19:51:00,-91.88141468038617,2022-03-21 20:21:00,-90.58501261106505,1.013109513592392
20,Sell,2022-03-22 06:41:00,-90.86564454976296,2022-03-22 07:11:00,-93.63441571534997,1.0294710452372424
21,Sell,2022-03-22 14:01:00,-93.11672079158747,2022-03-22 14:31:00,-96.60762399202774,1.0364895418434414
22,Sell,2022-03-22 14:11:00,-93.53644164497851,2022-03-22 14:41:00,-95.76869088834938,1.0228650220610644
23,Buy,2022-03-22 14:31:00,-96.60762399202774,2022-03-22 15:01:00,-95.46399157792088,1.0108379105794096
24,Buy,2022-03-23 00:51:00,-96.95068071625978,2022-03-23 01:21:00,-94.96825519847461,1.0194477730650189
25,Buy,2022-03-23 01:01:00,-96.30255468159926,2022-03-23 01:31:00,-94.47262881902832,1.0180018413179293
26,Buy,2022-03-23 04:01:00,-94.81577554326036,2022-03-23 04:31:00,-93.44337864633216,1.0134743518582732
27,Buy,2022-03-23 04:21:00,-94.39651399142119,2022-03-23 04:51:00,-93.5956083015464,1.0074844837590884
28,Sell,2022-03-24 16:41:00,-96.08994932654193,2022-03-24 17:11:00,-98.96751364784853,1.0289465692455284
29,Sell,2022-03-24 16:51:00,-97.38750765793233,2022-03-24 17:21:00,-99.38683519968772,1.0195296099041564
30,Buy,2022-03-24 17:11:00,-98.96751364784853,2022-03-24 17:41:00,-97.55701933711677,1.0132520940331053
