time,true_spread,pred_spread
2022-03-16 10:31:00,-77.47305226264,-76.05324451127758
2022-03-16 10:32:00,-77.43496484883644,-76.07956790251731
2022-03-16 10:33:00,-77.39683743503288,-76.05778302700857
2022-03-16 10:34:00,-77.2825151936222,-76.03261972466788
2022-03-16 10:35:00,-77.2825651936222,-75.95739548685934
2022-03-16 10:36:00,-77.13014553840796,-75.9585777148595
2022-03-16 10:37:00,-77.2825751936222,-75.85023780958554
2022-03-16 10:38:00,-77.32067260742575,-75.96398851117489
2022-03-16 10:39:00,-77.32067260742575,-75.98975399706622
2022-03-16 10:40:00,-77.32063260742575,-75.9870618823692
2022-03-16 10:41:00,-77.35876002122932,-75.98260749522251
2022-03-16 10:42:00,-77.35876002122932,-76.0084703931588
2022-03-16 10:43:00,-77.39688743503288,-76.0079301990913
2022-03-16 10:44:00,-77.35876002122932,-76.03389493689278
2022-03-16 10:45:00,-77.35878002122932,-76.00898402030494
2022-03-16 10:46:00,-77.43498484883645,-76.01191080947389
2022-03-16 10:47:00,-77.39685743503289,-76.05733138934558
2022-03-16 10:48:00,-77.35875002122931,-76.03265071940946
2022-03-16 10:49:00,-77.35876002122932,-76.01195951549637
2022-03-16 10:50:00,-77.35885002122932,-76.01222518470989
2022-03-16 10:51:00,-77.32072260742575,-76.0206778935201
2022-03-16 10:52:00,-77.32075260742575,-75.99314570735885
2022-03-16 10:53:00,-77.2826351936222,-75.99531091144904
2022-03-16 10:54:00,-77.24448777981864,-75.96799126065861
2022-03-16 10:55:00,-77.16827295221151,-75.93728432739577
2022-03-16 10:56:00,-77.13018553840796,-75.88299039579249
2022-03-16 10:57:00,-77.20642036601507,-75.85368265372087
2022-03-16 10:58:00,-77.1682929522115,-75.91712888972997
2022-03-16 10:59:00,-77.20641036601506,-75.88838348082696
2022-03-16 11:00:00,-77.1683029522115,-75.91772221764016
2022-03-16 11:01:00,-77.24450777981863,-75.8910623120633
2022-03-16 11:02:00,-77.0920681246044,-75.94787567337482
2022-03-16 11:03:00,-77.05396071080082,-75.84463661700046
2022-03-16 11:04:00,-77.01586329699725,-75.81556797722101
2022-03-16 11:05:00,-77.01587329699726,-75.78761514813836
2022-03-16 11:06:00,-77.09209812460439,-75.78421015438506
